
="",="1",="",="",="",="",="",="",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="comp_mle_country",="comp_mle_facility",="comp_mle_provider",="correctt2_country",="correctt2_facility",="correctt2_provider",="antibiotic_country",="antibiotic_facility",="antibiotic_provider"

="Other",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Nurse",="0.397***",="0.341***",="0.315**",="0.0983***",="0.0637***",="0.0929***",="0.0467***",="0.0398***",="0.0259"
="",="(0.027)",="(0.041)",="(0.147)",="(0.007)",="(0.009)",="(0.019)",="(0.009)",="(0.012)",="(0.026)"

="Clinical Officer",="0.680***",="0.582***",="0.974***",="0.183***",="0.129***",="0.258***",="0.0118",="0.0379**",="0.0484*"
="",="(0.036)",="(0.054)",="(0.147)",="(0.011)",="(0.015)",="(0.022)",="(0.013)",="(0.018)",="(0.027)"

="Doctor",="1.082***",="0.859***",="0.894***",="0.212***",="0.176***",="0.141***",="0.0657***",="0.0565***",="-0.0194"
="",="(0.042)",="(0.061)",="(0.169)",="(0.010)",="(0.014)",="(0.020)",="(0.013)",="(0.017)",="(0.027)"

="Health Post",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="Health Center",="0.177***",="",="",="0.0183***",="",="",="-0.0141*",="",=""
="",="(0.028)",="",="",="(0.007)",="",="",="(0.008)",="",=""

="Hospital",="0.409***",="",="",="0.0786***",="",="",="0.0403***",="",=""
="",="(0.035)",="",="",="(0.009)",="",="",="(0.010)",="",=""

="Public",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="Private",="-0.0138",="",="",="-0.0348***",="",="",="-0.00592",="",=""
="",="(0.030)",="",="",="(0.008)",="",="",="(0.009)",="",=""

="Rural",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="Urban",="-0.164***",="",="",="-0.0106*",="",="",="-0.0424***",="",=""
="",="(0.026)",="",="",="(0.006)",="",="",="(0.007)",="",=""

="Constant",="-0.559***",="-0.377***",="-0.421***",="0.354***",="0.393***",="0.373***",="0.269***",="0.253***",="0.267***"
="",="(0.024)",="(0.024)",="(0.072)",="(0.006)",="(0.005)",="(0.009)",="(0.007)",="(0.008)",="(0.014)"

="Observations",="9973",="10230",="10230",="47939",="49205",="49205",="21601",="22264",="22264"
="R2",="0.199",="0.793",="0.928",="0.060",="0.222",="0.262",="0.037",="0.341",="0.438"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
